DATE_TIME,AWAY,HOME
2017-01-29 7:30:00,MIN,ATL
2017-01-29 8:30:00,MIA,DAL
2017-01-29 9:00:00,BOS,DEN
2017-01-29 7:00:00,CHA,IND
2017-01-29 8:00:00,PHX,MEM
2017-01-29 8:00:00,PHI,MIL
2017-01-30 8:00:00,CLE,DET
2017-01-30 8:00:00,ORL,HOU
2017-01-30 10:30:00,POR,LAC
2017-01-30 8:00:00,SAC,NOP
2017-01-30 7:30:00,BKN,NYK
2017-01-30 8:30:00,DEN,SAS
2017-01-30 7:30:00,MIN,TOR
2017-01-30 9:00:00,GSW,UTA
2017-01-30 7:00:00,OKC,WAS
2017-01-31 7:30:00,CHA,ATL
2017-01-31 8:00:00,NYK,BOS
2017-01-31 7:30:00,PHI,BKN
2017-01-31 7:30:00,MIA,CLE
2017-01-31 7:00:00,MEM,IND
2017-01-31 7:00:00,LAL,ORL
2017-01-31 10:30:00,DAL,PHX
2017-01-31 10:00:00,CHI,POR
2017-02-01 10:30:00,OKC,DEN
2017-02-01 7:00:00,MEM,DET
2017-02-01 8:00:00,MIL,MIN
2017-02-01 8:00:00,HOU,SAS
2017-02-01 7:00:00,TOR,WAS
2017-02-02 7:30:00,ATL,BOS
2017-02-02 7:30:00,LAL,BKN
2017-02-02 7:00:00,IND,CHA
2017-02-02 8:00:00,NYK,MIL
2017-02-02 9:00:00,NOP,OKC
2017-02-02 8:00:00,MIA,PHI
2017-02-02 9:00:00,UTA,PHX
2017-02-02 10:30:00,GSW,SAC
2017-02-02 7:30:00,POR,TOR
2017-02-03 8:30:00,HOU,CLE
2017-02-03 9:00:00,GSW,DEN
2017-02-03 7:00:00,MIA,DET
2017-02-03 7:00:00,PHI,IND
2017-02-03 3:30:00,CHI,LAC
2017-02-03 9:00:00,NOP,MIN
2017-02-03 7:00:00,WAS,ORL
2017-02-03 10:00:00,DAL,SAC
2017-02-03 9:00:00,UTA,SAS
2017-02-04 12:00:00,POR,BOS
2017-02-04 12:00:00,MIL,BKN
2017-02-04 12:00:00,ATL,NYK
2017-02-04 2:00:00,LAL,OKC
2017-02-04 3:00:00,CHA,PHX
